name,copies,lists,status,oracle_first_80
"Karrthus, Tyrant of Jund",5,5,partial,"Flying, haste When Karrthus enters, gain control of all Dragons, then untap all "
"Rith, Liberated Primeval",5,5,partial,"Flying, ward {2} Other Dragons you control have ward {2}. At the beginning of yo"
"Poetic Ingenuity",5,5,partial,"Whenever one or more Dinosaurs you control attack, create that many Treasure tok"
"Vaevictis Asmadi, the Dire",5,5,partial,"Flying Whenever Vaevictis Asmadi attacks, for each player, choose target permane"
"Market Festival",5,5,partial,"Enchant land Whenever enchanted land is tapped for mana, its controller adds an "
"Yosei, the Morning Star",5,5,partial,"Flying When Yosei dies, target player skips their next untap step. Tap up to fiv"
"Clavileño, First of the Blessed",5,5,partial,"Whenever you attack, target attacking Vampire that isn't a Demon becomes a Demon"
"Scapegoat",5,5,partial,"As an additional cost to cast this spell, sacrifice a creature. Return any numbe"
"Stromkirk Noble",5,5,partial,"This creature can't be blocked by Humans. Whenever this creature deals combat da"
"Kindred Boon",5,5,partial,"As this enchantment enters, choose a creature type. {1}{W}: Put a divinity count"
"Vampire Socialite",5,5,partial,"Menace (This creature can't be blocked except by two or more creatures.) When th"
"Seal of the Guildpact",5,5,partial,"As this artifact enters, choose two colors. Each spell you cast costs {1} less t"
"Game of Chaos",5,5,partial,"Flip a coin. If you win the flip, you gain 1 life and target opponent loses 1 li"
"Shaun, Father of Synths",5,5,partial,"Whenever you attack, you may create a tapped and attacking token that's a copy o"
"Rakdos Keyrune",5,5,partial,"{T}: Add {B} or {R}. {B}{R}: This artifact becomes a 3/1 black and red Devil art"
"Collective Defiance",5,5,partial,"Escalate {1} (Pay this cost for each mode chosen beyond the first.) Choose one o"
"Blood Sun",5,5,partial,"When this enchantment enters, draw a card. All lands lose all abilities except m"
"Corsairs of Umbar",5,5,partial,"{2}{U}: Target Goblin, Orc, or Pirate can't be blocked this turn. Whenever this "
"Shagrat, Loot Bearer",5,5,partial,"Whenever Shagrat attacks, attach up to one target Equipment to it. Then amass Or"
"Eternal Skylord",5,5,partial,"When this creature enters, amass Zombies 2. (Put two +1/+1 counters on an Army y"
"Gandalf, Friend of the Shire",5,5,partial,"Flash You may cast sorcery spells as though they had flash. Whenever the Ring te"
"Blight Titan",5,5,partial,"Deathtouch Whenever this creature enters or attacks, mill two cards, then incuba"
"Metamorphosis Fanatic",5,5,partial,"Lifelink When this creature enters, return up to one target creature card from y"
"Trickbind",5,5,partial,"Split second (As long as this spell is on the stack, players can't cast spells o"
"Undercity Informer",5,5,partial,"{1}, Sacrifice a creature: Target player reveals cards from the top of their lib"
"Bloodroot Apothecary",5,5,partial,"Toxic 2 (Players dealt combat damage by this creature also get two poison counte"
"Psychic Possession",5,5,partial,"Enchant opponent Skip your draw step. Whenever enchanted opponent draws a card, "
"Strong Back",5,5,partial,"Enchant creature Equip abilities you activate that target enchanted creature cos"
"Professor Hojo",5,5,partial,"The first activated ability you activate during your turn that targets a creatur"
"Nurturing Bristleback",5,5,partial,"When this creature enters, create a 3/3 green Dinosaur creature token. Forestcyc"
"Cauldron of Souls",5,5,partial,"{T}: Choose any number of target creatures. Each of those creatures gains persis"
"Tamiyo, Compleated Sage",5,5,partial,"Compleated ({G/U/P} can be paid with {G}, {U}, or 2 life. If life was paid, this"
"Omnath, Locus of All",5,5,partial,"If you would lose unspent mana, that mana becomes black instead. At the beginnin"
"Subjugator Angel",5,5,partial,"Flying When this creature enters, tap all creatures your opponents control."
"Angelic Arbiter",5,5,partial,"Flying Each opponent who cast a spell this turn can't attack with creatures. Eac"
"Manascape Refractor",5,5,partial,"This artifact enters tapped. This artifact has all activated abilities of all la"
"Witherbloom, the Balancer",5,5,partial,"Affinity for creatures (This spell costs {1} less to cast for each creature you "
"Excise the Imperfect",5,5,partial,"Exile target nonland permanent. Its controller incubates X, where X is its mana "
"Traumatize",5,5,partial,"Target player mills half their library, rounded down."
"Harold and Bob, First Numens",5,5,partial,"Reach, vigilance When Harold and Bob dies, if it was a creature, return it to th"
"Demonic Covenant",5,5,partial,"Whenever one or more Demons you control attack a player, you draw a card and los"
"Daxos the Returned",5,5,partial,"Whenever you cast an enchantment spell, you get an experience counter. {1}{W}{B}"
"Glistening Oil",5,5,partial,"Enchant creature Enchanted creature has infect. At the beginning of your upkeep,"
"Sigarda's Splendor",5,5,partial,"As this enchantment enters, note your life total. At the beginning of your upkee"
"Tithe",5,5,partial,"Search your library for a Plains card. If target opponent controls more lands th"
"Necrologia",5,5,partial,"Cast this spell only during your end step. As an additional cost to cast this sp"
"Riverchurn Monument",5,5,partial,"{1}, {T}: Any number of target players each mill two cards. (Each of them puts t"
"Zimone's Hypothesis",5,5,partial,"You may put a +1/+1 counter on a creature. Then choose odd or even. Return each "
"Sporocyst",5,5,partial,"Ravenous (This creature enters with X +1/+1 counters on it. If X is 5 or more, d"
"Tyrant Guard",5,5,partial,"Ravenous (This creature enters with X +1/+1 counters on it. If X is 5 or more, d"
"Breakthrough",5,5,partial,"Draw four cards, then choose X cards in your hand and discard the rest."
"Time Reversal",5,5,partial,"Each player shuffles their hand and graveyard into their library, then draws sev"
"Day's Undoing",5,5,partial,"Each player shuffles their hand and graveyard into their library, then draws sev"
"Red Death, Shipwrecker",5,5,partial,"Alluring Eyes — {T}: Goad target creature an opponent controls. That player draw"
"Fateful Tempest",5,5,partial,"Council's dilemma — Starting with you, each player votes for past or present. Yo"
"Fervent Mastery",5,5,partial,"You may pay {2}{R}{R} rather than pay this spell's mana cost. If the {2}{R}{R} c"
"Jaya's Phoenix",5,5,partial,"Flying, haste Whenever this creature deals combat damage to a player or planeswa"
"Hoarder's Greed",5,5,partial,"You lose 2 life and draw two cards, then clash with an opponent. If you win, rep"
"The Sixth Doctor",5,5,partial,"Time Lord's Prerogative — Whenever you cast a historic spell, copy it, except th"
"Greymond, Avacyn's Stalwart",5,5,partial,"As Greymond, Avacyn's Stalwart enters, choose two abilities from among first str"
"Wolverine, Best There Is",5,5,partial,"Unrivaled Lethality — Double all damage Wolverine would deal. At the beginning o"
"Maelstrom Nexus",5,5,partial,"The first spell you cast each turn has cascade. (When you cast your first spell,"
"The Eighth Doctor",5,5,partial,"When The Eighth Doctor enters, mill three cards. Once during each of your turns,"
"Rootcast Apprenticeship",5,5,partial,"Choose three. You may choose the same mode more than once. • Put two +1/+1 count"
"Demonic Bargain",5,5,partial,"Exile the top thirteen cards of your library, then search your library for a car"
"Ecological Appreciation",5,5,partial,"Search your library and graveyard for up to four creature cards with different n"
"Perplexing Chimera",5,5,partial,"Whenever an opponent casts a spell, you may exchange control of this creature an"
"Dovin, Grand Arbiter",5,5,partial,"+1: Until end of turn, whenever a creature you control deals combat damage to a "
"Scavenged Brawler",5,5,partial,"Flying, vigilance, trample, lifelink {5}, Exile this card from your graveyard: C"
"Rushed Rebirth",5,5,partial,"Choose target creature. When that creature dies this turn, search your library f"
"Ruric Thar, the Unbowed",5,5,partial,"Reach, vigilance Ruric Thar attacks each combat if able. Whenever a player casts"
"Braids, Conjurer Adept",5,5,partial,"At the beginning of each player's upkeep, that player may put an artifact, creat"
"Righteous Confluence",5,5,partial,"Choose three. You may choose the same mode more than once. • Create a 2/2 white "
"Backlash",5,5,partial,"Tap target untapped creature. That creature deals damage equal to its power to i"
"Far // Away",5,5,partial,"Return target creature to its owner's hand. Fuse (You may cast one or both halve"
"Echoing Assault",5,5,partial,"Creature tokens you control have menace. Whenever you attack a player, choose ta"
"Alien Invasion",5,5,partial,"At the beginning of combat on your turn, create a 1/1 red Alien creature token w"
"Sublime Archangel",5,5,partial,"Flying Exalted (Whenever a creature you control attacks alone, that creature get"
"Trepanation Blade",5,5,partial,"Whenever equipped creature attacks, defending player reveals cards from the top "
"Ancestral Katana",5,5,partial,"Whenever a Samurai or Warrior you control attacks alone, you may pay {1}. When y"
"Dramatist's Puppet",5,5,partial,"When this creature enters, for each kind of counter on target permanent, put ano"
"Azlask, the Swelling Scourge",5,5,partial,"Whenever Azlask or another colorless creature you control dies, you get an exper"
"Deceiver of Form",5,5,partial,"({C} represents colorless mana.) At the beginning of combat on your turn, reveal"
"Hope-Ender Coatl",5,5,partial,"Devoid (This card has no color.) Flash When you cast this spell, counter target "
"Mog, Moogle Warrior",5,5,partial,"Lifelink Dance — At the beginning of your end step, each player may discard a ca"
"Strago and Relm",5,5,partial,"Sketch and Lore — {2}{R}, {T}: Target opponent exiles cards from the top of thei"
"Fangorn, Tree Shepherd",5,5,partial,"Treefolk you control have vigilance. Whenever one or more Treefolk you control a"
"Landroval, Horizon Witness",5,5,partial,"Flying Whenever two or more creatures you control attack a player, target attack"
"Lord of Atlantis",5,5,partial,"Other Merfolk get +1/+1 and have islandwalk. (They can't be blocked as long as d"
"Toothy, Imaginary Friend",5,5,partial,"Partner with Pir, Imaginative Rascal (When this creature enters, target player m"
"Team Tactics",5,5,partial,"Teamwork 1 (As an additional cost to cast this spell, you may tap any number of "
"Ratcatcher Trainee // Pest Problem",5,5,partial,"During your turn, this creature has first strike. // Create two 1/1 black Rat cr"
"Path of the Ghosthunter",5,5,partial,"Create X 1/1 white Spirit creature tokens with flying. Will of the Planeswalkers"
"Biblioplex Assistant",5,5,partial,"Flying When this creature enters, put up to one target instant or sorcery card f"
"Unexplained Absence",5,5,partial,"For each player, exile up to one target nonland permanent that player controls. "
"Skarrgan Hellkite",5,5,partial,"Riot (This creature enters with your choice of a +1/+1 counter or haste.) Flying"
"Verix Bladewing",5,5,partial,"Kicker {3} (You may pay an additional {3} as you cast this spell.) Flying When V"
"Firkraag, Cunning Instigator",5,5,partial,"Flying, haste Whenever one or more Dragons you control attack an opponent, goad "
"Thundermaw Hellkite",5,5,partial,"Flying Haste (This creature can attack and {T} as soon as it comes under your co"
"The Dragon-Kami Reborn // Dragon-Kami's Egg",5,5,partial,"(As this Saga enters and after your draw step, add a lore counter.) I, II — You "
"Fires of Invention",5,5,partial,"You can cast spells only during your turn and you can cast no more than two spel"
"Zilortha, Strength Incarnate",5,5,partial,"Trample Lethal damage dealt to creatures you control is determined by their powe"
"Humility",5,5,partial,"All creatures lose all abilities and have base power and toughness 1/1."
"Callous Sell-Sword // Burn Together",5,5,partial,"This creature enters with a +1/+1 counter on it for each creature that died unde"
"Portent of Calamity",5,5,partial,"Reveal the top X cards of your library. For each card type, you may exile a card"
"Flexible Waterbender",5,5,partial,"Vigilance Waterbend {3}: This creature has base power and toughness 5/2 until en"
"Foggy Swamp Vinebender",5,5,partial,"This creature can't be blocked by creatures with power 2 or less. Waterbend {5}:"
"Muddle, the Ever-Changing",5,5,partial,"Whenever you cast an instant or sorcery spell, Muddle becomes a copy of up to on"
"Fraying Omnipotence",5,5,partial,"Each player loses half their life, then discards half the cards in their hand, t"
"See the Unwritten",5,5,partial,"Reveal the top eight cards of your library. You may put a creature card from amo"
"Glissa, Herald of Predation",5,5,partial,"At the beginning of combat on your turn, choose one — • Incubate 2 twice. (To in"
"Case of the Shifting Visage",5,5,partial,"At the beginning of your upkeep, surveil 1. To solve — There are fifteen or more"
"Gale's Redirection",5,5,partial,"Exile target spell, then roll a d20 and add that spell's mana value. 1—14 | You "
"Dream Devourer",5,5,partial,"Each nonland card in your hand without foretell has foretell. Its foretell cost "
"The Wedding of River Song",5,5,partial,"Draw two cards, then you may exile a nonland card from your hand with a number o"
"Aradesh, the Founder",5,5,partial,"Enlist (As this creature attacks, you may tap a nonattacking creature you contro"
"Elder Arthur Maxson",5,5,partial,"Creature tokens you control have training. (Whenever a creature token you contro"
"Danse Macabre",5,5,partial,"Each player sacrifices a nontoken creature of their choice. Roll a d20 and add t"
"Vihaan, Goldwaker",5,5,partial,"Other outlaws you control have vigilance and haste. (Assassins, Mercenaries, Pir"
"Abzan Charm",5,5,partial,"Choose one — • Exile target creature with power 3 or greater. • You draw two car"
"Starving Revenant",5,5,partial,"When this creature enters, surveil 2. Then for each card you put on top of your "
"Curious Forager",5,5,partial,"When this creature enters, you may forage. When you do, return target permanent "
"Dire Flail // Dire Blunderbuss",5,5,partial,"Equipped creature gets +2/+0. Equip {1} Craft with artifact {3}{R}{R} ({3}{R}{R}"
"Dosan the Falling Leaf",5,5,partial,"Players can cast spells only during their own turns."
"The Hunger Tide Rises",5,5,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Archetype of Endurance",5,5,partial,"Creatures you control have hexproof. Creatures your opponents control lose hexpr"
"Éomer, King of Rohan",5,5,partial,"Double strike Éomer enters with a +1/+1 counter on it for each other Human you c"
"Belt of Giant Strength",5,5,partial,"Equipped creature has base power and toughness 10/10. Equip {10}. This ability c"
"Cyber Conversion",5,5,partial,"Turn target creature face down. It's a 2/2 Cyberman artifact creature."
"Sound the Trumpets",5,5,partial,"Counter target spell. If that spell's mana value was 2 or less, recruit. (Draw a"
"Berserker's Frenzy",5,5,partial,"Cast this spell only before combat or during combat before blockers are declared"
"Valiant Endeavor",5,5,partial,"Roll two d6 and choose one result. Destroy each creature with power greater than"
"Criminal Past",5,5,partial,"Commander creatures you own have menace and ""This creature gets +X/+0, where X i"
"Chandra, Legacy of Fire",5,5,partial,"At the beginning of your end step, Chandra deals X damage to each opponent, wher"
"Dockworker Drone",5,5,partial,"This creature enters with a +1/+1 counter on it. When this creature dies, put it"
"Warp World",5,5,partial,"Each player shuffles all permanents they own into their library, then reveals th"
"Goblin Charbelcher",5,5,partial,"{3}, {T}: Reveal cards from the top of your library until you reveal a land card"
"Doran, Besieged by Time",5,5,partial,"Each creature spell you cast with toughness greater than its power costs {1} les"
"Betor, Ancestor's Voice",5,5,partial,"Flying, lifelink At the beginning of your end step, put a number of +1/+1 counte"
"Ancient Lumberknot",5,5,partial,"Each creature you control with toughness greater than its power assigns combat d"
"Wall of Nets",5,5,partial,"Defender (This creature can't attack.) At end of combat, exile all creatures blo"
"The Haunt of Hightower",5,5,partial,"Flying, lifelink Whenever The Haunt of Hightower attacks, defending player disca"
"Dead Man's Chest",5,5,partial,"Enchant creature an opponent controls When enchanted creature dies, exile cards "
"Briber's Purse",5,5,partial,"This artifact enters with X gem counters on it. {1}, {T}, Remove a gem counter f"
"Mirror of the Forebears",5,5,partial,"As this artifact enters, choose a creature type. {1}: Until end of turn, this ar"
"Unbreathing Horde",5,5,partial,"This creature enters with a +1/+1 counter on it for each other Zombie you contro"
"Gustha's Scepter",5,5,partial,"{T}: Exile a card from your hand face down. You may look at it for as long as it"
"Radha, Heart of Keld",5,5,partial,"During your turn, Radha has first strike. You may look at the top card of your l"
"Nature's Chosen",5,5,partial,"Enchant creature you control {0}: Untap enchanted creature. Activate only during"
"Mystic Reflection",5,5,partial,"Choose target nonlegendary creature. The next time one or more creatures or plan"
"Belligerent Sliver",5,5,partial,"Sliver creatures you control have menace. (They can't be blocked except by two o"
"Bonesplitter Sliver",5,5,partial,"All Sliver creatures get +2/+0."
"Fire-Belly Changeling",5,5,partial,"Changeling (This card is every creature type.) {R}: This creature gets +1/+0 unt"
"Fungus Sliver",5,5,partial,"All Sliver creatures have ""Whenever this creature is dealt damage, put a +1/+1 c"
"Council of Reeds",5,5,partial,"The ""legend rule"" doesn't apply to creatures you control. At the beginning of co"
"Dwarven Armorer",5,5,partial,"{R}, {T}, Discard a card: Put a +0/+1 counter or a +1/+0 counter on target creat"
"Graaz, Unstoppable Juggernaut",5,5,partial,"Juggernauts you control attack each combat if able. Juggernauts you control can'"
"Barge In",5,5,partial,"Target attacking creature gets +2/+2 until end of turn. Each attacking non-Human"
"Sphere of Resistance",5,5,partial,"Spells cost {1} more to cast."
"Chef's Kiss",5,5,partial,"Gain control of target spell that targets only a single permanent or player. Cop"
"Corrupted Shapeshifter",5,5,partial,"Devoid (This card has no color.) As this creature enters, it becomes your choice"
"Orator of Ojutai",5,5,partial,"As an additional cost to cast this spell, you may reveal a Dragon card from your"
"Rammas Echor, Ancient Shield",5,5,partial,"Whenever you cast your second spell each turn, draw a card, then create a 0/3 wh"
"Crown of Doom",5,5,partial,"Whenever a creature attacks you or a planeswalker you control, it gets +2/+0 unt"
"Colossus of the Blood Age",5,5,partial,"When this creature enters, it deals 3 damage to each opponent and you gain 3 lif"
"Citywide Bust",5,5,partial,"Destroy all creatures with toughness 4 or greater."
"Mangara of Corondor",5,5,partial,"{T}: Exile Mangara and target permanent."
"Venser, Fervent Forger",5,5,partial,"Flash  When Venser enters, choose one — • Copy target instant or sorcery spell a"
"Psychic Paper",5,5,partial,"As this Equipment becomes attached to a creature, choose a creature card name an"
"Footbottom Feast",5,5,partial,"Put any number of target creature cards from your graveyard on top of your libra"
"Threats Undetected",5,5,partial,"Search your library for up to four creature cards with different powers and reve"
"Vivien, Arkbow Ranger",5,5,partial,"+1: Distribute two +1/+1 counters among up to two target creatures. They gain tr"
"Shardless Outlander",5,5,partial,"Trample (This creature can deal excess combat damage to the player or planeswalk"
"Selfless Police Captain",5,5,partial,"This creature enters with a +1/+1 counter on it. When this creature leaves the b"
"War Tax",5,5,partial,"{X}{U}: This turn, creatures can't attack unless their controller pays {X} for e"
"Anvil of Bogardan",5,5,partial,"Players have no maximum hand size. At the beginning of each player's draw step, "
"Scion of Halaster",5,5,partial,"Commander creatures you own have ""The first time you would draw a card each turn"
"Gloomfang Mauler",5,5,partial,"Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, "
"Canyon Crawler",5,5,partial,"Deathtouch When this creature enters, create a Food token. (It's an artifact wit"
"Rescue from the Underworld",5,5,partial,"As an additional cost to cast this spell, sacrifice a creature. Choose target cr"
"Sami, Wildcat Captain",5,5,partial,"Double strike, vigilance Spells you cast have affinity for artifacts. (They cost"
"Taigam, Ojutai Master",5,5,partial,"Instant, sorcery, and Dragon spells you control can't be countered. Whenever you"
"Monk Class",5,5,partial,"(Gain the next level as a sorcery to add its ability.) The second spell you cast"
"Kain, Traitorous Dragoon",5,5,partial,"Jump — During your turn, Kain has flying. Whenever Kain deals combat damage to a"
"Forgotten Creation",5,5,partial,"Skulk (This creature can't be blocked by creatures with greater power.) At the b"
"Sanctum Prelate",5,5,partial,"As this creature enters, choose a number. Noncreature spells with mana value equ"
"Instrument of the Bards",5,5,partial,"At the beginning of your upkeep, you may put a harmony counter on Instrument of "
"Winter Soldier, Reborn Avenger",5,5,partial,"Whenever Winter Soldier attacks, return target creature card with mana value les"
"Secret Invasion",5,5,partial,"Enchant creature you control When this Aura enters, exile up to one target creat"
"Extraction Specialist",5,5,partial,"Lifelink When this creature enters, return target creature card with mana value "
"Caress of Phyrexia",5,5,partial,"Target player draws three cards, loses 3 life, and gets three poison counters."
"Reaper of Sheoldred",5,5,partial,"Infect (This creature deals damage to creatures in the form of -1/-1 counters an"
"Phyrexian Vatmother",5,5,partial,"Infect (This creature deals damage to creatures in the form of -1/-1 counters an"
"Blinding Angel",5,5,partial,"Flying (This creature can't be blocked except by creatures with flying or reach."
"Precursor Golem",5,5,partial,"When this creature enters, create two 3/3 colorless Golem artifact creature toke"
"Enervate",5,5,partial,"Tap target artifact, creature, or land. Draw a card at the beginning of the next"
"Relic's Roar",5,5,partial,"Until end of turn, target artifact or creature becomes a Dinosaur artifact creat"
"Theorist's Proxy",5,5,partial,"Flash When this creature enters, empower Jace 3. (Put three loyalty counters on "
"Treachery",5,5,partial,"Enchant creature When this Aura enters, untap up to five lands. You control ench"
"Diluvian Primordial",5,5,partial,"Flying When this creature enters, for each opponent, you may cast up to one targ"
"Argothian Elder",5,5,partial,"{T}: Untap two target lands."
"Blaster Hulk",5,5,partial,"This spell costs {1} less to cast for each {E} (energy counter) you've paid or l"
"Dynavolt Tower",5,5,partial,"Whenever you cast an instant or sorcery spell, you get {E}{E} (two energy counte"
"Evil Eye of Urborg",5,5,partial,"Non-Eye creatures you control can't attack. Whenever this creature becomes block"
"Modify Memory",5,5,partial,"Exchange control of two target creatures controlled by different players. If you"
"Thought Eater",5,5,partial,"Flying Your maximum hand size is reduced by three."
"Make an Example",5,5,partial,"Each opponent separates the creatures they control into two piles. For each oppo"
"The Trickster-God's Heist",5,5,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Innocuous Researcher",5,5,partial,"Parley — Whenever this creature attacks, each player reveals the top card of the"
"Hauntwoods Shrieker",5,5,partial,"Whenever this creature attacks, manifest dread. (Look at the top two cards of yo"
"Verdant Mastery",5,5,partial,"You may pay {3}{G} rather than pay this spell's mana cost. Search your library f"
"Timin, Youthful Geist",5,5,partial,"Partner with Rhoda, Geist Avenger (When this creature enters, target player may "
"Spirit of the Labyrinth",5,5,partial,"Each player can't draw more than one card each turn."
"Otherworldly Escort",5,5,partial,"Flash When this creature dies, if it's not a Spirit, return it to the battlefiel"
"Liliana's Contract",5,5,partial,"When this enchantment enters, you draw four cards and you lose 4 life. At the be"
"Armed with Proof",5,5,partial,"When this enchantment enters, investigate twice. (To investigate, create a Clue "
"Serene Sleuth",5,5,partial,"When this creature enters, investigate. (Create a Clue token. It's an artifact w"
"Ransom Note",5,5,partial,"When this artifact enters, surveil 1. {2}, Sacrifice this artifact: Choose one —"
"Share the Spoils",5,5,partial,"When this enchantment enters and whenever an opponent loses the game, exile the "
"Jaya, Venerated Firemage",5,5,partial,"If another red source you control would deal damage to a permanent or player, it"
"Ward of Bones",5,5,partial,"Each opponent who controls more creatures than you can't cast creature spells. T"
"Slicer, Hired Muscle // Slicer, High-Speed Antagonist",5,5,partial,"More Than Meets the Eye {2}{R} (You may cast this card converted for {2}{R}.) Do"
"Grave Betrayal",5,5,partial,"Whenever a creature you don't control dies, return it to the battlefield under y"
"White Tiger, Ava Ayala",5,5,partial,"Power-up — {5}{G}: Put a +1/+1 counter on White Tiger and create The Tiger God, "
"Alania, Divergent Storm",5,5,partial,"Whenever you cast a spell, if it's the first instant spell, the first sorcery sp"
"Step Between Worlds",5,5,partial,"Each player may shuffle their hand and graveyard into their library. Each player"
"Ruxa, Patient Professor",5,5,partial,"Whenever Ruxa enters or attacks, return target creature card with no abilities f"
"Convenient Target",5,5,partial,"Enchant creature When this Aura enters, suspect enchanted creature. (It has mena"
"Coronation of Chaos",5,5,partial,"Up to three target creatures can't block this turn. Goad them. (Until your next "
"The Spear of Leonidas",5,5,partial,"Whenever equipped creature attacks, choose one — • Bull Rush — It gains double s"
"Lavaleaper",5,5,partial,"All creatures have haste. Whenever a player taps a basic land for mana, that pla"
"Tamiyo, Upriser Crowned",5,5,partial,"Flying, double strike, haste When Tamiyo enters, you become the monarch. Wheneve"
"Ajani Goldmane",5,5,partial,"+1: You gain 2 life. −1: Put a +1/+1 counter on each creature you control. Those"
"Quakebringer",5,5,partial,"Your opponents can't gain life. At the beginning of your upkeep, Quakebringer de"
"Prowling Geistcatcher",5,5,partial,"Whenever you sacrifice another creature, exile it. If that creature was a token,"
"Feast of the Victorious Dead",5,5,partial,"At the beginning of your end step, if one or more creatures died this turn, you "
"Longstalk Brawl",5,5,partial,"Gift a tapped Fish (You may promise an opponent a gift as you cast this spell. I"
"Phyrexian Ironworks",5,5,partial,"Whenever you attack, you get {E} (an energy counter). {T}, Pay {E}{E}{E}: Create"
"Compelled Duel",5,5,partial,"Target creature gets +3/+3 until end of turn and must be blocked this turn if ab"
"Goblin Boarders",5,5,partial,"Raid — This creature enters with a +1/+1 counter on it if you attacked this turn"
"Enlarge",5,5,partial,"Target creature gets +7/+7 and gains trample until end of turn. It must be block"
"Airtight Alibi",5,5,partial,"Flash Enchant creature When this Aura enters, untap enchanted creature. It gains"
"Extract the Truth",5,5,partial,"Choose one — • Target opponent reveals their hand. You may choose a creature, en"
"Horned Sliver",5,5,partial,"All Sliver creatures have trample."
"Crypt Sliver",5,5,partial,"All Slivers have ""{T}: Regenerate target Sliver."""
"Opaline Sliver",5,5,partial,"All Slivers have ""Whenever this permanent becomes the target of a spell an oppon"
"Ward Sliver",5,5,partial,"As this creature enters, choose a color. All Slivers have protection from the ch"
"Leeching Sliver",5,5,partial,"Whenever a Sliver you control attacks, defending player loses 1 life."
"Sliver Gravemother",5,5,partial,"The ""legend rule"" doesn't apply to Slivers you control. Each Sliver creature car"
"Battle at the Helvault",5,5,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Vault 13: Dweller's Journey",5,5,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Reservoir Kraken",5,5,partial,"Trample, ward {2} At the beginning of each combat, if this creature is untapped,"
"Hymn of the Faller",5,5,partial,"Surveil 1, then you draw a card and lose 1 life. (To surveil 1, look at the top "
"Voidslime",5,5,partial,"Counter target spell, activated ability, or triggered ability. (Mana abilities c"
"Burn from Within",5,5,partial,"Burn from Within deals X damage to any target. If a creature is dealt damage thi"
"Magus of the Moat",5,5,partial,"Creatures without flying can't attack."
"Plan for All Outcomes",5,5,partial,"When this enchantment enters, the owner of up to one other target nonland perman"
"Kaya, Spirits' Justice",5,5,partial,"Whenever one or more creatures you control and/or creature cards in your graveya"
"Ranar the Ever-Watchful",5,5,partial,"Flying, vigilance The first card you foretell each turn costs {0} to foretell. W"
"Armor Wars",5,5,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Robobrain War Mind",5,5,partial,"Robobrain War Mind's power is equal to the number of cards in your hand. When th"
"Robe of the Archmagi",5,5,partial,"Whenever equipped creature deals combat damage to a player, you draw that many c"
"Zurgo Bellstriker",5,5,partial,"Zurgo can't block creatures with power 2 or greater. Dash {1}{R} (You may cast t"
"Guff Rewrites History",5,5,partial,"For each player, choose target nonenchantment, nonland permanent that player con"
"Voldaren Bloodcaster // Bloodbat Summoner",5,5,partial,"Flying Whenever this creature or another nontoken creature you control dies, cre"
"New Frontiers",5,5,partial,"Each player may search their library for up to X basic land cards and put them o"
"Vedalken Squirrel-Whacker",5,5,partial,"As this creature enters, roll a six-sided die twice. Its base power becomes the "
"Aurelia's Fury",5,5,partial,"Aurelia's Fury deals X damage divided as you choose among any number of targets."
"Ukkima, Stalking Shadow",5,5,partial,"Partner with Cazur, Ruthless Stalker (When this creature enters, target player m"
"Pia's Revolution",5,5,partial,"Whenever a nontoken artifact is put into your graveyard from the battlefield, re"
"Vanille, Cheerful l'Cie",5,5,partial,"When Vanille enters, mill two cards, then return a permanent card from your grav"
"Masako the Humorless",5,5,partial,"Flash Tapped creatures you control can block as though they were untapped."
"Peri Brown",5,5,partial,"The first historic spell you cast each turn has convoke. (Your creatures can hel"
"Mogg Mob",5,5,partial,"Sacrifice this creature: It deals 3 damage divided as you choose among one, two,"
"Whiplash, Vengeful Engineer",5,5,partial,"Whiplash enters tapped. Whenever Whiplash attacks, if he's equipped, each oppone"
"Namor the Sub-Mariner",5,5,partial,"Flying Namor's power is equal to the number of Merfolk you control. Whenever you"
"Katara's Reversal",5,5,partial,"Counter up to four target spells and/or abilities. Untap up to four target artif"
"Dusk Legion Sergeant",5,5,partial,"Menace {1}{B}, Sacrifice this creature: Each nontoken Vampire creature you contr"
"Morality Shift",5,5,partial,"Exchange your graveyard and library. Then shuffle your library."
"Debt to the Kami",5,5,partial,"Choose one — • Target opponent exiles a creature they control. • Target opponent"
"Cazur, Ruthless Stalker",5,5,partial,"Partner with Ukkima, Stalking Shadow (When this creature enters, target player m"
"Ramirez DePietro, Pillager",5,5,partial,"When Ramirez DePietro enters, you lose 2 life and create two Treasure tokens. Wh"
"Zara, Renegade Recruiter",5,5,partial,"Flying Whenever Zara attacks, look at defending player's hand. You may put a cre"
"Triumphant Reckoning",5,5,partial,"Return all artifact, enchantment, and planeswalker cards from your graveyard to "
"Zhao, the Moon Slayer",5,5,partial,"Menace Nonbasic lands enter tapped. {7}: Put a conqueror counter on Zhao. As lon"
"Smuggler's Buggy",5,5,partial,"Hideaway 4 (When this artifact enters, look at the top four cards of your librar"
